HTS Code,Material,Classification,Chapter,Chapter Description,Declaration Required,Notes
9506.59.4040,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9506.70.2090,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9506.91.0010,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9506.91.0020,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9506.91.0030,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9506.99.0510,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9506.99.0520,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9506.99.0530,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9506.99.1500,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9506.99.2000,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9506.99.2580,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9506.99.2800,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9506.99.5500,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9506.99.6080,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9507.30.2000,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9507.30.4000,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9507.30.6000,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9507.30.8000,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9507.90.6000,Aluminum,Derivative Aluminum Article (Other Chapters),95,"Chapter 95: Toys, games and sports requisites; parts and accessories thereof",07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9603.90.8050,Aluminum,Derivative Aluminum Article (Other Chapters),96,Chapter 96: Miscellaneous manufactured articles,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9903.85.02,Aluminum,Derivative Aluminum Article (Other Chapters),99,Chapter 99: Special classification provisions,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9903.85.04,Aluminum,Derivative Aluminum Article (Other Chapters),99,Chapter 99: Special classification provisions,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9903.85.07,Aluminum,Derivative Aluminum Article (Other Chapters),99,Chapter 99: Special classification provisions,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9903.85.08,Aluminum,Derivative Aluminum Article (Other Chapters),99,Chapter 99: Special classification provisions,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9903.85.09,Aluminum,Derivative Aluminum Article (Other Chapters),99,Chapter 99: Special classification provisions,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9903.85.12,Aluminum,Derivative Aluminum Article (Other Chapters),99,Chapter 99: Special classification provisions,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9903.85.13,Aluminum,Derivative Aluminum Article (Other Chapters),99,Chapter 99: Special classification provisions,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9903.85.14,Aluminum,Derivative Aluminum Article (Other Chapters),99,Chapter 99: Special classification provisions,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9903.85.15,Aluminum,Derivative Aluminum Article (Other Chapters),99,Chapter 99: Special classification provisions,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9903.85.67,Aluminum,Derivative Aluminum Article (Other Chapters),99,Chapter 99: Special classification provisions,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9903.85.68,Aluminum,Derivative Aluminum Article (Other Chapters),99,Chapter 99: Special classification provisions,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9903.85.69,Aluminum,Derivative Aluminum Article (Other Chapters),99,Chapter 99: Special classification provisions,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
9903.85.70,Aluminum,Derivative Aluminum Article (Other Chapters),99,Chapter 99: Special classification provisions,07 - SMELT & CAST,Section 232 Aluminum Tariff - Subject to 10% or 25% additional duty
7406.10.00,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7406.20.00,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7407.10.15,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7407.10.30,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7407.10.50,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7407.21.15,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7407.21.30,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7407.21.50,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7407.21.70,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7407.21.90,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7407.29.16,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7407.29.34,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7407.29.38,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7407.29.40,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7407.29.50,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7408.11.30,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7408.11.60,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7408.19.00,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7408.21.00,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7408.22.10,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7408.22.50,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7408.29.10,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7408.29.50,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7409.11.10,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7409.11.50,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7409.19.10,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7409.19.50,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7409.19.90,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7409.21.00,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7409.29.00,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7409.31.10,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7409.31.50,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7409.31.90,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7409.39.10,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7409.39.50,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7409.39.90,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7409.40.00,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7409.90.10,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7409.90.50,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7409.90.90,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7410.11.00,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7410.12.00,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7410.21.30,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7410.21.60,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7410.22.00,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7411.10.10,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7411.10.50,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7411.21.10,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7411.21.50,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7411.22.00,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7411.29.10,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7411.29.50,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7412.10.00,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7412.20.00,Copper,Semi-Finished Copper Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7413.00.10,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7413.00.50,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7413.00.90,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7415.10.00,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7415.21.00,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7415.29.00,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7415.33.05,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7415.33.10,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7415.33.80,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7415.39.00,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7418.10.00,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7418.20.10,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7418.20.50,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7419.20.00,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7419.80.03,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7419.80.06,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7419.80.09,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7419.80.15,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7419.80.16,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7419.80.17,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7419.80.30,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
7419.80.50,Copper,Intensive Copper Derivative Product,74,Chapter 74: Copper and articles thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
8544.42.10,Copper,Intensive Copper Derivative Product,85,Chapter 85: Electrical machinery and equipment and parts thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
8544.42.20,Copper,Intensive Copper Derivative Product,85,Chapter 85: Electrical machinery and equipment and parts thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
8544.49.10,Copper,Intensive Copper Derivative Product,85,Chapter 85: Electrical machinery and equipment and parts thereof,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
9903.78.01,Copper,Intensive Copper Derivative Product,99,Chapter 99: Non-Copper Chapter,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
9903.78.02,Copper,Intensive Copper Derivative Product,99,Chapter 99: Non-Copper Chapter,11 - COPPER CONTENT,"Section 232 Copper Tariff - 50% duty on copper content value (Effective Aug 1, 2025)"
0402.99.68,Steel,Derivative Steel Article (Other Chapters),4,Chapter 04: Dairy produce; birds' eggs; natural honey,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
0402.99.70,Steel,Derivative Steel Article (Other Chapters),4,Chapter 04: Dairy produce; birds' eggs; natural honey,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
0402.99.90,Steel,Derivative Steel Article (Other Chapters),4,Chapter 04: Dairy produce; birds' eggs; natural honey,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
2106.90.9998,Steel,Derivative Steel Article (Other Chapters),21,Chapter 21: Miscellaneous edible preparations,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
2710.19.3050,Steel,Derivative Steel Article (Other Chapters),27,"Chapter 27: Mineral fuels, mineral oils",08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
2711.12.0020,Steel,Derivative Steel Article (Other Chapters),27,"Chapter 27: Mineral fuels, mineral oils",08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
2804.29.0010,Steel,Derivative Steel Article (Other Chapters),28,Chapter 28: Non-Steel/Aluminum Chapter,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
2804.40.0000,Steel,Derivative Steel Article (Other Chapters),28,Chapter 28: Non-Steel/Aluminum Chapter,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
2901.22.0000,Steel,Derivative Steel Article (Other Chapters),29,Chapter 29: Organic chemicals,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
2903.42.1000,Steel,Derivative Steel Article (Other Chapters),29,Chapter 29: Organic chemicals,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
2903.43.10,Steel,Derivative Steel Article (Other Chapters),29,Chapter 29: Organic chemicals,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
2903.44.10,Steel,Derivative Steel Article (Other Chapters),29,Chapter 29: Organic chemicals,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
2903.45.10,Steel,Derivative Steel Article (Other Chapters),29,Chapter 29: Organic chemicals,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
2903.49.00,Steel,Derivative Steel Article (Other Chapters),29,Chapter 29: Organic chemicals,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
2903.51.10,Steel,Derivative Steel Article (Other Chapters),29,Chapter 29: Organic chemicals,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
2903.59.90,Steel,Derivative Steel Article (Other Chapters),29,Chapter 29: Organic chemicals,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
2903.71.0100,Steel,Derivative Steel Article (Other Chapters),29,Chapter 29: Organic chemicals,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
3004.90.9244,Steel,Derivative Steel Article (Other Chapters),30,Chapter 30: Pharmaceutical products,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
3208.10.00,Steel,Derivative Steel Article (Other Chapters),32,Chapter 32: Tanning or dyeing extracts; paints and varnishes,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
3208.20.00,Steel,Derivative Steel Article (Other Chapters),32,Chapter 32: Tanning or dyeing extracts; paints and varnishes,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
3208.90.00,Steel,Derivative Steel Article (Other Chapters),32,Chapter 32: Tanning or dyeing extracts; paints and varnishes,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
3209.10.00,Steel,Derivative Steel Article (Other Chapters),32,Chapter 32: Tanning or dyeing extracts; paints and varnishes,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
3209.90.00,Steel,Derivative Steel Article (Other Chapters),32,Chapter 32: Tanning or dyeing extracts; paints and varnishes,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
3213.90.00,Steel,Derivative Steel Article (Other Chapters),32,Chapter 32: Tanning or dyeing extracts; paints and varnishes,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
3214.10.00,Steel,Derivative Steel Article (Other Chapters),32,Chapter 32: Tanning or dyeing extracts; paints and varnishes,08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
3303.00.10,Steel,Derivative Steel Article (Other Chapters),33,"Chapter 33: Essential oils and resinoids; perfumery, cosmetic or toilet preparations",08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
3303.00.20,Steel,Derivative Steel Article (Other Chapters),33,"Chapter 33: Essential oils and resinoids; perfumery, cosmetic or toilet preparations",08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
3303.00.30,Steel,Derivative Steel Article (Other Chapters),33,"Chapter 33: Essential oils and resinoids; perfumery, cosmetic or toilet preparations",08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
3304.30.00,Steel,Derivative Steel Article (Other Chapters),33,"Chapter 33: Essential oils and resinoids; perfumery, cosmetic or toilet preparations",08 - MELT & POUR,Section 232 Steel Tariff - Subject to 25% or 50% additional duty
